MOF Name,Ref Code,Property,Value,Condition,Summary,Reference
[Eu2(fum)2(ox)(H2O)4]·4H2O<|>1Eu,KIBDEF,Water Stability,Stable,,"The dehydration and rehydration are reversible for the materials, and the porous frameworks show framework dynamics upon de-/rehydration. The two samples gained their original weights and recovered the original structures, as indicated by comparing their PXRD patterns to the as-prepared ones. The materials exhibited framework dynamics upon several cycles of dehydration and rehydration, and a reversible large change in their luminescence intensities upon de-/rehydration. The significant luminescence changes upon de-/rehydration render the materials potential application for sensing water.",10.1021/ic061833e
[Tb2(fum)2(ox)(H2O)4]·4H2O<|>2Tb,KIBDIJ,Water Stability,Stable,,"1. ""However, when the dehydrated phases were exposed to water vapor at room temperature for 1 day, the two samples gained their original weights, and recovered the original structures, as indicated by comparing their PXRD patterns to the as-prepared ones (Figure). Consequently, the dehydration and rehydration are reversible for the materials, and the porous frameworks show framework dynamics1a,2upon de-/rehydration.""

2. ""Therefore, the two materials were basically reversible upon five cycles of de-/rehydration, although some degradation might occur.""

3. ""The materials exhibited framework dynamics upon several cycles of dehydration and rehydration, and a reversible large change in their luminescence intensities upon de-/rehydration, where water in fact enhances the luminescence.""",10.1021/ic061833e
{EtNH3[Fe2(ox)2Cl2(μ-OH)]·2H2O}<|>1,CAVMIW,Water Stability,Unstable,,"Moreover, we have noted that dehydration inhibits crystal-to-crystal transformation. If the yellow compound is completely dehydrated, the transformation occurs more slowly, probably after a rehydration process, demonstrating the fundamental role which is played by crystallization water molecules. Crystals of 1 allowed to stand in air at ambient temperature for 3 days undergo an irreversible transformation to yield 2, this process being accompanied by a color change from yellow to deep red.",10.1021/ja051203w
{(H3O)(EtNH3)[Fe2(ox)2Cl2(μ-O)]·H2O}<|>2,CAYSOL,Water Stability,Unstable,,"Moreover, we have noted that dehydration inhibits crystal-to-crystal transformation. If the yellow compound is completely dehydrated, the transformation occurs more slowly, probably after a rehydration process, demonstrating the fundamental role which is played by crystallization water molecules. Crystals of 1 allowed to stand in air at ambient temperature for 3 days undergo an irreversible transformation to yield 2, this process being accompanied by a color change from yellow to deep red.",10.1021/ja051203w
Er4(btec)3(H2O)12·12H2O<|>compound 1,IPIJUM,Water Stability,Unstable,,"The high disorder observed and the high and strongly anisotropic coefficients of thermal agitation found suggest that these water molecules can easily be removed from the channels. Experimentally, we have actually observed that the crystals are destroyed in a few minutes if they are kept out of the mother solution.",10.1021/cg020060b
[Zn­(hfipbb)­(bpt)]­·nn(DMF)2­·n(H2O)<|>1,HIKMOG,Water Stability,Stable,,"The trifluoromethyl groups of the hfipbb ligand provide sites for increased gas sorption, while the bpt ligand incorporates flexibility into the MOF framework to facilitate its breathing behavior. This flexibility allows the 2-periodic framework to be responsive to solvent exchange with ethanol, dichloromethane, and dimethylacetamide leading to [Zn­(hfipbb)­(bpt)]­·nn(EtOH)2(2), [Zn­(hfipbb)­(bpt)]­·nn(DCM)2­·n(H2O) (3), and [Zn­(hfipbb)­(bpt)]­·nn(DMA)2­·n(H2O)2(4), respectively, while crystals of 3 can also lead to [Zn­(hfipbb)­(bpt)]­·nn­(H2O)3(5), a partially hydrated form. These solvent exchanges all occur via SCSC transformations and show a large change in cavity size. Compound 1 also displayed a high affinity for water vapor.",10.1021/acs.cgd.8b01391
Potassiumgem-Dinitroacetylurea<|>5b,QIRGED,Water Stability,Unstable,,"gem-Dinitroacetylurea (4b) was dissolved in water, resulting in the precipitation of a yellow solid. Potassiumgem-Dinitroacetylurea (5b) was formed by adding gem-Dinitroacetylurea (4b) to a solution of KOH in water, resulting in a yellow precipitate. These indicate that the compound changes properties upon exposure to water.",10.1021/jo025952x
Cu(OOCCH3)2<|>Cu2(OOCCH3)4<|>Cu2(μ2-OOCCH3)4<|>Cu2(μ2-OOCCH3)4(3),MOXPUL,Water Stability,Unstable,,The crystals were delicate and unstable but could nevertheless be analyzed by X-ray diffraction. The large size of these channels presumably facilitates the loss of included guests and accounts for the observed instability of the crystals.,10.1021/ic8019809
Cu(OOCCH3)2<|>Cu2(OOCCH3)4<|>Cu2(μ2-OOCCH3)4<|>Cu2(μ2-OOCCH3)4(1),MOXNUJ,Water Stability,Unstable,,The crystals were delicate and unstable but could nevertheless be analyzed by X-ray diffraction. The large size of these channels presumably facilitates the loss of included guests and accounts for the observed instability of the crystals.,10.1021/ic8019809
{[Co3(p-cbia)2(bpmp)2(H2O)6]·10H2O}(n1)<|>compound 1,HEBJAB,Water Stability,Stable,,"All the coordination polymers, once isolated, are stable in air and insoluble in common organic solvents and water.",10.1021/cg300829c
[Ag0.5(H2O)3]@[Ag2.5Cr(ox)3]<|>Ag3Cr(ox)3(H2O)3<|>compound 1,BEKYOG,Water Stability,Stable,,"The water in the channels can be removed by heating or with high vacuum, and reintroduced by exposure to water vapor at ca. 30 mm. The large crystals do not change their external morphology during their dehydration. However single crystals and polycrystalline samples do lose most of their diffraction intensity during dehydration. Remarkably, during rehydration some of the original diffraction intensity is recovered, and shows that the original hydrated crystal structure is regenerated. Large single crystals, while showing no external morphological change during dehydration/rehydration and concomitant loss and recovery of diffraction, do lose mechanical strength during this cycle. The dehydration and rehydration property of the [MxAg0.5-(Hx2O)3]@[Ag2.5Cr(ox)3] system described here is intermediate between that of zeolitic nonmolecular lattices, which are usually rigid, and robust molecular frameworks such as Ni2(4,4‘-bipyridine)3(NO3)4which undergo flexible intermolecular scissoring during sorption and desorption of guest molecules. This latter system also retains crystal mosaicity during guest loss.",10.1021/ic034988k
Al(H2O)(O3PC6H4PO3H)<|>compound 1,HOZDAD,Water Stability,Unstable,,"For compound 1, the original structure can be regenerated from the dehydrated phase either by rehydration of water through exposure to the atmosphere for several months or refluxing in water overnight. Rehydration is rapid for compound 2 reflected in a more porous structure and a less stable dehydrated phase than for compound 1. The dehydration behavior of these materials can be described by the parent structures. In both compounds, the aluminum atom has an octahedral geometry with one oxygen atom from a water molecule. A five-coordinate metal would be expected from the loss of water. The geometry of the aluminum atom would then be square pyramidal without rearrangement of the inorganic framework. The geometry of the aluminum atom was determined to be trigonal bipyramidal for compound 1d; therefore rearrangement of the inorganic framework occurred, reducing the free volume (Figure). However, for compound 2d the aluminum atom has a distorted square pyramidal geometry (Figure). The slight change in geometry resulted in a wider channel. The large channels allows for easier reabsorption of water molecules. The change in free volume and the coordinately unsaturated metal are believed to be the main influences on the stability of the dehydrated phases of 1 and 2.",10.1021/cg5005215
Al4(H2O)2(O3PC6H4PO3)3<|>compound 2,HOZDIL,Water Stability,Stable,,"""Compounds 2 and 3 were microporous, while compound 1 was found to be nonporous."" ""The N2 adsorption isotherms indicate that compounds 2 and 3 have a type I isotherm suggesting uniform microporosity."" ""Reversible dehydration behavior was found for all compounds, with only compound 1 having a stable dehydrated phase (1d).""",10.1021/cg5005215
{[Gd2(L)3(DMF)4]·4DMF·3H2O}(n1)<|>compound 1,XEGJIE02,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/acs.cgd.5b00784
{[Cd4(L)3(HlL1)2(DMF)(H2O)2]·(DMF)3·(H2O)2}(n2)<|>compound 2,RUYNIK,Water Stability,Stable,,The MOF is insoluble in water and common organic solvents.,10.1021/acs.cgd.5b00784
Tb3(BDC)4.5(DMF)2(H2O)3·(DMF)(H2O)<|>Complex 1,UCEXAC,Water Stability,Stable,,"A water sorption isotherm reveals that four water molecules per formula unit can be adsorbed into these micropores. Because these complexes exhibit strong blue fluorescence and complex1 shows Tb3+ characteristic emission in the range of 450−650 nm, they could be anticipated as potential fluorescent porous materials.",10.1021/ic0518881
"Ag(2,4‘-Py2S)(CF3CO2)",HUTTAR,Water Stability,Stable,,The solid products are insoluble in water and common organic solvents and are stable for several days even as aqueous suspensions.,10.1021/ic025935q
[CdL­(H2O)]·H2O<|>complex 4,AJIJEI01,Water Stability,Stable,,"1. ""Complexes 2 and 4 are insoluble in the aqueous solution, and complex 3 is partially dissolved, whereas complex 1 is almost completely dissolved. Therefore, we deem that complexes 2 and 4 in the aqueous solution is relatively stable and that the skeleton of the structures has not been destroyed.""",10.1021/acs.cgd.7b01190
Cd2[5Ru]·12H2O,QIWHEL,Water Stability,Unstable,,"The framework of Cd2[5Ru], with the largest pore size, was unstable even in air (Figure S3 in the SI).",10.1021/ic402683j
Sr2[4Ru]·9H2O,QIWGOU,Water Stability,Stable,,"The PXRD pattern of Sr2[4Ru] was still unchanged at this low-RH region, where about 5 mol mol–1 of water vapor was adsorbed. A pattern almost identical with the simulated pattern of Sr2[4Ru] was observed above RH = 75%, which corresponds to the third adsorption step observed in the water vapor adsorption isotherm. This suggests that the two-step increases observed in the adsorption isotherm should correspond to the adsorption and coordination of water to the Sr2+ cations. However, in contrast to Mg2[4Ru], a larger amount of water adsorption is required to regenerate the porous framework.",10.1021/ic402683j
{[Cu2(TTPB)0.5]·DMF·2H2O}<|>n2<|>2,ZIWQII,Water Stability,Stable,,"The stabilities and reusabilities of heterogeneous catalysts are key parameters for practical use. The recycle experiments for 1 and 2 indicated there was no significant decline of activity and selectivity for the oxidation reaction after five cycles (Figures b and d). The PXRD patterns of the catalysts after cycling demonstrated that the structural integrity and crystallinity of 1 and 2 were maintained well (Figures a and c), suggesting their excellent activities and recyclabilities under catalytic conditions.",10.1021/acs.cgd.8b01527
{Co2(cpia)(OH)(bipy)0.5}<|>compound 1,QUSVIK,Water Stability,Stable,,"All the coordination polymers, once isolated are stable in air and insoluble in common organic solvents and water.",10.1021/cg900896w
[Zn3K2(bptc)3(DMF)2][Me2NH2]4<|>JLU-Liu44,HARHUG,Water Stability,Stable,,"The proton conductivity of JLU-Liu44 related with the relative humidity and decreased with decreasing humidification. The conductivity value slightly decreased from 2.3 × 10–3 S cm–1 at 82% RH to 1.7 × 10–4 S cm–1 at 75% RH. With the decrease of humidity, the conductivity drops rapidly by 3 orders of magnitude reaching 2.4 × 10–7 S cm–1 at 53% RH. The highly humidity dependence of conductivity suggests that water molecules play a crucial role in the framework for the proton conduction. To assess the hydrophilicity and the amount of included water molecules, water adsorption isotherm was measured using dehydrated sample. The amount of water in JLU-Liu44 is determined to be around 1.4 molecules per formula unit at P/Po= 0.9.",10.1021/acs.cgd.7b00512
